"logFC","logCPM","PValue","FDR"
"BARX1",2.60774800994476,2.35454123951379,0.00131801136533427,0.115321253418672
"HIST1H2AC",-0.698682661896039,7.7485905110648,0.00136516737435632,0.11859404004944
"VGLL4",0.883074463423394,4.14627716159143,0.00147350510495471,0.127097653095455
"C2orf72",2.57131059629585,2.44894159289594,0.0014972177842011,0.127336802038139
"DOK3",2.30358057393,2.4530406388617,0.0014972177842011,0.127336802038139
"ING2",0.983986588502089,3.80325600746816,0.00155191517597802,0.131072169237811
"TPI1P3",1.08836341692308,3.6669163441009,0.00172299839229089,0.14451797549684
"ABCB6",0.863313255177661,4.11886652497943,0.0017619797721883,0.146775328694206
"SNCB",3.19902567495285,2.18975522310782,0.00183684534464779,0.15197083728984
"HBA2",3.01402029135443,2.28691156109312,0.0019164699307866,0.157373363086449
"TNFRSF10D",1.4299011826775,3.033119506386,0.00193383927450962,0.157373363086449
"MIR3687",0.639295401093565,7.21357192660912,0.00194096402425319,0.157373363086449
"MIR23A",1.16062001840328,3.78836609415647,0.0021204300323447,0.170783218993098
"TBC1D9B",0.673180120376438,4.84290442342758,0.00213443917833835,0.170783218993098
"PGAM1",0.725350655012878,7.33319086444503,0.00220022582437305,0.174896382196242
"GRPEL1",0.671248478909904,5.83690688996033,0.00223629665173226,0.176609349859531
"MYO6",2.41071799120472,4.63375752830525,0.00226433153018336,0.177669677871548
"LOC440461",3.33295928388665,2.07477049616345,0.00230358822440922,0.179591281956826
"KISS1R",2.32665754534276,2.32718565793723,0.00235870583551903,0.182717072430461
"GUK1",0.610934983127899,6.20968267715453,0.0025832685419966,0.198846278530143
"MLLT3",2.13151865122622,2.49262782190385,0.00261279182753892,0.199853925827222
"GOLGA8B",0.73502961574368,4.40721524347277,0.00266586644004005,0.201915853103388
"XPNPEP1",0.658257493490305,5.4302710976463,0.00267295283256417,0.201915853103388
"MTRNR2L8",-0.746823577156308,11.3420180294556,0.00305669329160683,0.229478418595816
"MTRNR2L2",-0.793484832733018,10.3789807481955,0.0030873072767054,0.230354792020191
"BSPRY",1.40234896353888,3.14526805230208,0.00321546714533174,0.237626259426052
"MUM1L1",2.10297881169333,2.62877241155613,0.00322383923740327,0.237626259426052
"S100A2",0.851963899782652,4.03466093678319,0.0032979674839513,0.241625786384432
"HIST1H2AD",-0.940927099478893,7.32321285951222,0.00333724745436737,0.242458000239357
"NPAS1",1.59898303980917,2.74769128309677,0.00334919783261075,0.242458000239357
"MTRNR2L1",-0.734426468548866,8.83407125203628,0.00352763467457423,0.253864455101608
"MMP3",0.677994400948839,8.18693549284846,0.00364428764929426,0.260716625827746
"PNRC1",1.20375640618686,3.70744216696705,0.00375839808619747,0.266004302366312
"RAB6B",1.48056004557398,2.95397248248255,0.00376194211535978,0.266004302366312
"MIF",0.605252252862419,7.2078359579149,0.00378485287688171,0.266077345021014
"SLC2A3",1.38138043043476,5.02827621014346,0.00382621174000349,0.266544354228088
"HIST1H4K",-0.888172110386053,4.8668790616136,0.00385877322647193,0.266544354228088
"MTRNR2L9",-0.644407759076332,9.29643191829494,0.0038775683017653,0.266544354228088
"CLK3",1.02110473294137,3.59194453400966,0.0038991398608099,0.266544354228088
"RNF181",0.716913045542947,5.80067855896482,0.00390107671868111,0.266544354228088
"MIR3655",-0.818514307918221,5.56252589103634,0.00394761396985462,0.268217212856826
"SNORD52",0.833762857270357,10.2085984598275,0.00411238120691177,0.276685502988043
"ZDBF2",1.19983150988572,3.96153457467034,0.00411775004446931,0.276685502988043
"S100A10",3.37063122968954,2.15335708756506,0.00415745273314058,0.277818352420086
"ATG9A",0.818565676335691,4.10509679641478,0.00422797822225118,0.28098727398371
"CRYBB2",1.06232142790301,3.46059331761971,0.00433178704138862,0.286321706507437
